ProjectName,RelativePath,ProductArea,OutputType,TargetFramework,DependsOnCount,UsedByCount_WithinRepo,PackageReferenceCount
InterventionApp,MedStreaming.Analytics\ProtoTypes\WebMDX\Plugins\InterventionApp\InterventionApp.csproj,MedStreaming.Analytics,Library,v4.0,1,0,0
JSONEngine,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\JSONEngineSample\JSONEngine\JSONEngine.csproj,MedStreaming.Analytics,Library,netstandard2.0,1,1,2
JSONEngineSample,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\JSONEngineSample\JSONEngineSample\JSONEngineSample.csproj,MedStreaming.Analytics,Exe,v4.6.1,2,0,0
JsPivotTableApp,MedStreaming.Analytics\ProtoTypes\WebMDX\Plugins\JsPivotTableApp\JsPivotTableApp.csproj,MedStreaming.Analytics,Library,v4.5,1,0,0
JsonEngineLog,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\JSONEngineSample\JsonEngineLog\JsonEngineLog.csproj,MedStreaming.Analytics,(unknown),netstandard2.0,0,2,0
MedStreaming.Analytics.CostRegistryIngestion,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\MedStreaming.Analytics.CostRegistryIngestion\MedStreaming.Analytics.CostRegistryIngestion\MedStreaming.Analytics.CostRegistryIngestion.csproj,MedStreaming.Analytics,WinExe,v4.7.2,0,0,0
MedStreaming.Analytics.JSONEngine,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\MedStreaming.Analytics.Json\MedStreaming.Analytics.JSONEngine\MedStreaming.Analytics.JSONEngine.csproj,MedStreaming.Analytics,Library,v4.6,1,2,0
MedStreaming.Analytics.Json,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\MedStreaming.Analytics.Json\MedStreaming.Analytics.Json\MedStreaming.Analytics.Json.csproj,MedStreaming.Analytics,WinExe,v4.6.1,2,0,0
MedStreaming.Analytics.JsonEnginelog,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\MedStreaming.Analytics.Json\MedStreaming.Analytics.JsonEnginelog\MedStreaming.Analytics.JsonEnginelog.csproj,MedStreaming.Analytics,Library,v4.5.2,0,3,0
MedStreaming.Analytics.RunJsonSilently,MedStreaming.Analytics\MedStreaming.Analytics.Gallery\MedStreaming.Analytics.Json\MedStreaming.Analytics.RunJsonSilently\MedStreaming.Analytics.RunJsonSilently.csproj,MedStreaming.Analytics,Exe,v4.8,2,0,0
