ProjectName,RelativePath,ProductArea,OutputType,TargetFramework,DependsOnCount,UsedByCount_WithinRepo,PackageReferenceCount
MedStreaming.NotificationManager.Service,MedStreaming.NotificationManager\MedStreaming.NotificationManager.Service\MedStreaming.NotificationManager.Service.csproj,MedStreaming.NotificationManager,Library,v4.5,3,2,0
MedStreaming.NotificationManager.Test,MedStreaming.NotificationManager\MedStreaming.NotificationManager.Test\MedStreaming.NotificationManager.Test.csproj,MedStreaming.NotificationManager,WinExe,v4.5,0,0,0
MedStreaming.NotificationManager.UnitTest,MedStreaming.NotificationManager\MedStreaming.NotificationManager.UnitTest\MedStreaming.NotificationManager.UnitTest.csproj,MedStreaming.NotificationManager,Library,v4.5,3,0,0
MedStreaming.NotificationManager.Util,MedStreaming.NotificationManager\MedStreaming.NotificationManager.Util\MedStreaming.NotificationManager.Util.csproj,MedStreaming.NotificationManager,Library,v4.5,0,0,0
MedStreaming.NotificationManager.Web,MedStreaming.NotificationManager\MedStreaming.NotificationManager.Web\MedStreaming.NotificationManager.Web.csproj,MedStreaming.NotificationManager,Library,v4.5,2,0,0
MedStreaming.S3Storage,MedStreaming.Storage\MedStreaming.S3Storage\MedStreaming.S3Storage\MedStreaming.S3Storage.csproj,MedStreaming.Storage,Library,v4.6.1,0,0,0
WebApiTest,MedStreaming.Storage\MedStreaming.S3Storage\WebApiTest\WebApiTest.csproj,MedStreaming.Storage,Exe,v4.5.2,0,0,0
MedStreaming.DataSync,MedStreaming.Test\SyncTest\MedStreaming.DataSync.csproj,MedStreaming.Test,WinExe,v4.8,0,0,0
Sample,MedStreaming.Test\Sample\Sample.csproj,MedStreaming.Test,Exe,v4.8,0,0,0
SqlTest,MedStreaming.Test\SqlTest\SqlTest.csproj,MedStreaming.Test,WinExe,v4.8,0,0,0
TestSync,MedStreaming.Test\SqlTest\TestSync\TestSync.csproj,MedStreaming.Test,WinExe,v4.8,2,0,0
MedStreaming.TestUnits,MedStreaming.TestUnits\MedStreaming.TestUnits.csproj,MedStreaming.TestUnits,WinExe,v4.8,8,0,0
MedStreaming.UserDashboard.DashboardDesigner,MedStreaming.UserDashboard\MedStreaming.UserDashboard.DashboardDesigner\MedStreaming.UserDashboard.DashboardDesigner.csproj,MedStreaming.UserDashboard,Library,v4.0,0,0,0
MedStreaming.UserDashboard.WebApi,MedStreaming.UserDashboard\MedStreaming.UserDashboard.WebApi\MedStreaming.UserDashboard.WebApi.csproj,MedStreaming.UserDashboard,Library,v4.5,0,0,0
MedStreaming.Viewer,MedStreaming.Viewer\Backup\MedStreaming.Viewer.csproj,MedStreaming.Viewer,WinExe,v4.8,0,0,0
Billing.HTML5,MedStreaming.Web\Billing.HTML5\Billing.HTML5\Billing.HTML5.csproj,MedStreaming.Web,Library,v4.6.1,0,0,0
BillingGeneration,MedStreaming.Web\Billing\MedStreaming.Web.DocumentGeneration\BillingGeneration\BillingGeneration\BillingGeneration.csproj,MedStreaming.Web,WinExe,v4.8,0,0,0
MSWBxSilverlightApplication,MedStreaming.Web\Whiteboard\MSWBxSilverlightApplication\MSWBxSilverlightApplication.csproj,MedStreaming.Web,Library,v4.8,0,1,0
MSWBxSilverlightApplication.Web,MedStreaming.Web\Whiteboard\MSWBxSilverlightApplication.Web\MSWBxSilverlightApplication.Web.csproj,MedStreaming.Web,Library,v4.0,0,0,0
ManagementTools,MedStreaming.Web\Whiteboard\ManagementTools\ManagementTools.csproj,MedStreaming.Web,Library,v5.0,1,0,0
MedStreaming.Billing.Config.Server,MedStreaming.Web\Billing\MedStreaming.Web.Config.Server\MedStreaming.Billing.Config.Server.csproj,MedStreaming.Web,Library,v4.0,0,0,0
MedStreaming.Billing.Server.NamedPipeService,MedStreaming.Web\Billing\MedStreaming.Billing.Server.NamedPipeService\MedStreaming.Billing.Server.NamedPipeService.csproj,MedStreaming.Web,Exe,v4.8,6,0,0
MedStreaming.Billing.Tools,MedStreaming.Web\Billing\MedStreaming.Billing.Tools\MedStreaming.Billing.Tools.csproj,MedStreaming.Web,WinExe,v4.8,3,0,0
MedStreaming.Client.Worksheet.Web.Common,MedStreaming.Web\MedStreaming.Web.Worksheet\Web.Common\MedStreaming.Client.Worksheet.Web.Common.csproj,MedStreaming.Web,Library,v4.0,0,3,0
MedStreaming.Client.Worksheet.WebCore,MedStreaming.Web\MedStreaming.Web.Worksheet\WebCore\MedStreaming.Client.Worksheet.WebCore.csproj,MedStreaming.Web,Library,v4.0,0,1,0
MedStreaming.Client.Worksheet.WebHost,MedStreaming.Web\MedStreaming.Web.Worksheet\WebHost\MedStreaming.Client.Worksheet.WebHost.csproj,MedStreaming.Web,WinExe,v4.0,1,0,0
MedStreaming.Client.Worksheet.WebHostLib,MedStreaming.Web\MedStreaming.Web.Worksheet\WebHostLib\MedStreaming.Client.Worksheet.WebHostLib.csproj,MedStreaming.Web,Library,v4.0,2,1,0
MedStreaming.Client.Worksheet.WebMVC,MedStreaming.Web\MedStreaming.Web.Worksheet\WebMVC\MedStreaming.Client.Worksheet.WebMVC.csproj,MedStreaming.Web,Library,v4.0,1,0,0
MedStreaming.Client.Worksheet.WebUI,MedStreaming.Web\MedStreaming.Web.Worksheet\WebUI\MedStreaming.Client.Worksheet.WebUI.csproj,MedStreaming.Web,Library,v4.0,1,0,0
MedStreaming.DashBoard,MedStreaming.Web\MedStreaming.DashBoard\MedStreaming.DashBoard\MedStreaming.DashBoard.csproj,MedStreaming.Web,Library,v4.5,6,0,0
MedStreaming.DashBoard.Common,MedStreaming.Web\MedStreaming.DashBoard\MedStreaming.DashBoard.Common\MedStreaming.DashBoard.Common.csproj,MedStreaming.Web,Library,v4.5,1,4,0
MedStreaming.DashBoard.DataAccess,MedStreaming.Web\MedStreaming.DashBoard\MedStreaming.DashBoard.DataAccess\MedStreaming.DashBoard.DataAccess.csproj,MedStreaming.Web,Library,v4.5,4,0,0
MedStreaming.DashBoard.Entity,MedStreaming.Web\MedStreaming.DashBoard\MedStreaming.DashBoard.Entity\MedStreaming.DashBoard.Entity.csproj,MedStreaming.Web,Library,v4.5,0,3,0
MedStreaming.DashBoard.Kendo,MedStreaming.Web\MedStreaming.DashBoard\MedStreaming.DashBoard.Kendo\MedStreaming.DashBoard.Kendo.csproj,MedStreaming.Web,Library,v4.0,0,1,0
MedStreaming.DashBoard.Model,MedStreaming.Web\MedStreaming.DashBoard\MedStreaming.Dashboard.Model\MedStreaming.DashBoard.Model.csproj,MedStreaming.Web,Library,v4.0,0,8,0
MedStreaming.DashBoard.Repository,MedStreaming.Web\MedStreaming.DashBoard\MedStreaming.DashBoard.DataAccess\MedStreaming.DashBoard.Repository.csproj,MedStreaming.Web,Library,v4.5,4,1,0
MedStreaming.DashBoard.Service,MedStreaming.Web\MedStreaming.DashBoard\MedStreaming.DashBoard.Service\MedStreaming.DashBoard.Service.csproj,MedStreaming.Web,WinExe,v4.5,3,0,0
MedStreaming.DashBoard.Service.Common,MedStreaming.Web\MedStreaming.DashBoard\MedStreaming.DashBoard.Service.Common\MedStreaming.DashBoard.Service.Common.csproj,MedStreaming.Web,Library,v4.0,2,2,0
MedStreaming.DashBoard.Service.Test,MedStreaming.Web\MedStreaming.DashBoard\MedStreaming.DashBoard.Service.Test\MedStreaming.DashBoard.Service.Test.csproj,MedStreaming.Web,WinExe,v4.5,4,0,0
MedStreaming.DashBoard.Utility,MedStreaming.Web\MedStreaming.DashBoard\MedStreaming.DashBoard.Utility\MedStreaming.DashBoard.Utility.csproj,MedStreaming.Web,Library,v4.0,0,6,0
MedStreaming.OneEMRPage,MedStreaming.Web\MedStreaming.WebEMR\MedStreaming.OneEMRPage\MedStreaming.OneEMRPage.csproj,MedStreaming.Web,Library,v4.0,0,0,0
MedStreaming.Portal.Imaging.Common,MedStreaming.Web\MedStreaming.Portal.Imaging\MedStreaming.Portal.Imaging.Common\MedStreaming.Portal.Imaging.Common.csproj,MedStreaming.Web,Library,v4.0,4,2,0
MedStreaming.Portal.Imaging.MVC,MedStreaming.Web\MedStreaming.Portal.Imaging\MedStreaming.Portal.Imaging.MVC\MedStreaming.Portal.Imaging.MVC.csproj,MedStreaming.Web,Library,v4.0,3,0,0
MedStreaming.Portal.Imaging.Model,MedStreaming.Web\MedStreaming.Portal.Imaging\MedStreaming.Portal.Imaging.Model\MedStreaming.Portal.Imaging.Model.csproj,MedStreaming.Web,Library,v4.0,0,3,0
MedStreaming.Portal.Imaging.Repository,MedStreaming.Web\MedStreaming.Portal.Imaging\MedStreaming.Portal.Imaging.Repository\MedStreaming.Portal.Imaging.Repository.csproj,MedStreaming.Web,Library,v4.0,2,3,0
MedStreaming.Portal.Imaging.Test,MedStreaming.Web\MedStreaming.Portal.Imaging\MedStreaming.Portal.Imaging.Test\MedStreaming.Portal.Imaging.Test.csproj,MedStreaming.Web,WinExe,v4.0,3,0,0
MedStreaming.WebEMR,MedStreaming.Web\MedStreaming.WebEMR\MedStreaming.WebEMR\MedStreaming.WebEMR.csproj,MedStreaming.Web,Library,v4.0,2,0,0
MedStreaming.WebEMR.Configurations,MedStreaming.Web\MedStreaming.WebEMR\MedStreaming.WebEMR.Configurations\MedStreaming.WebEMR.Configurations.csproj,MedStreaming.Web,Library,v4.0,1,1,0
MedStreaming.WebEMR.DAL,MedStreaming.Web\MedStreaming.WebEMR\MedStreaming.WebEMR.DAL\MedStreaming.WebEMR.DAL.csproj,MedStreaming.Web,Library,v4.0,0,1,0
MedStreaming.WebEMR.Models,MedStreaming.Web\MedStreaming.WebEMR\MedStreaming.WebEMR.Models\MedStreaming.WebEMR.Models.csproj,MedStreaming.Web,Library,v4.0,3,1,0
Medstreaming.Billing.Server.MessageTransmissin.Tests2,MedStreaming.Web\Billing\Medstreaming.Billing.Server.MessageTransmissin.Tests2\Medstreaming.Billing.Server.MessageTransmissin.Tests2.csproj,MedStreaming.Web,Library,v4.8,12,0,0
Medstreaming.DashBoard.Console,MedStreaming.Web\MedStreaming.DashBoard\Medstreaming.DashBoard.Console\Medstreaming.DashBoard.Console.csproj,MedStreaming.Web,Exe,v4.5.1,1,0,0
SharpGIS.MouseExtensions,MedStreaming.Web\Whiteboard\3rd party\example\SharpGIS.MouseExtensions\SharpGIS.MouseExtensions.csproj,MedStreaming.Web,Library,v4.8,0,0,0
Test,MedStreaming.Web\Billing\Test\Test.csproj,MedStreaming.Web,Exe,v4.8,0,0,0
WebLogger,MedStreaming.Web\MedStreaming.WebEMR\WebLogger\WebLogger.csproj,MedStreaming.Web,Library,v4.0,0,3,0
slcontrolroom,MedStreaming.Web\slcontrolroom\slcontrolroom\slcontrolroom.csproj,MedStreaming.Web,Library,v4.8,0,0,0
slcontrolroom.Web,MedStreaming.Web\slcontrolroom\slcontrolroom.Web\slcontrolroom.Web.csproj,MedStreaming.Web,Library,v4.8,0,0,0
MedStreaming.WebDataSync.Contracts,MedStreaming.WebDataSync.Contracts\MedStreaming.WebDataSync.Contracts.csproj,MedStreaming.WebDataSync.Contracts,Library,v4.8,0,2,0
MedStreaming.WebDataSync.Server,MedStreaming.WebDataSync.Server\MedStreaming.WebDataSync.Server.csproj,MedStreaming.WebDataSync.Server,Library,v4.8,5,1,0
MedStreaming.WebDataSync.Server.Host,MedStreaming.WebDataSync.Server.Host\MedStreaming.WebDataSync.Server.Host.csproj,MedStreaming.WebDataSync.Server.Host,Library,v4.8,1,0,0
ExamLayoutCloningTool,MedStreaming.WebPlatform\ExamLayoutCloningTool\ExamLayoutCloningTool\ExamLayoutCloningTool.csproj,MedStreaming.WebPlatform,WinExe,netcoreapp3.1,0,0,0
MedStreaming.LoggerUtility,MedStreaming.WebPlatform\MedStreaming.LoggerUtility\MedStreaming.LoggerUtility.csproj,MedStreaming.WebPlatform,(unknown),netcoreapp3.1,2,0,4
MedStreaming.WebUI,MedStreaming.WebPlatform\MedStreaming.WebUI\MedStreaming.WebUI.csproj,MedStreaming.WebPlatform,(unknown),net10.0,1,0,4
MedStreaming.MiningWeb.ModelView,MedStreaming.WebServices.DataMining\DataMiningUI\MedStreaming.MiningWeb.ModelView\MedStreaming.MiningWeb.ModelView.csproj,MedStreaming.WebServices.DataMining,Library,v4.0,0,1,0
MedStreaming.MiningWeb.View,MedStreaming.WebServices.DataMining\DataMiningUI\MedStreaming.MiningWeb.View\MedStreaming.MiningWeb.View.csproj,MedStreaming.WebServices.DataMining,Library,v4.0,0,0,0
MedStreaming.MiningWebUI,MedStreaming.WebServices.DataMining\DataMiningUI\MedStreaming.MiningWebUI\MedStreaming.MiningWebUI.csproj,MedStreaming.WebServices.DataMining,Library,v4.0,1,0,0
MedStreaming.MiningWebUI.Web,MedStreaming.WebServices.DataMining\DataMiningUI\MedStreaming.MiningWebUI.Web\MedStreaming.MiningWebUI.Web.csproj,MedStreaming.WebServices.DataMining,Library,v4.0,0,0,0
MedStreaming.WebServices.DataMining,MedStreaming.WebServices.DataMining\MultiRepositoryService\MedStreaming.WebServices.DataMining\MedStreaming.WebServices.DataMining.csproj,MedStreaming.WebServices.DataMining,Library,v4.0,0,2,0
MedStreaming.WebServices.SelfHost,MedStreaming.WebServices.DataMining\MultiRepositoryService\MedStreaming.WebServices.SelfHost\MedStreaming.WebServices.SelfHost.csproj,MedStreaming.WebServices.DataMining,WinExe,v4.0,1,0,0
TestClient,MedStreaming.WebServices.DataMining\MultiRepositoryService\TestClient\TestClient.csproj,MedStreaming.WebServices.DataMining,Exe,v4.0,1,0,0
Medstreaming.AWS.ControlCenter,Medstreaming.AWS.ControlCenter\Medstreaming.AWS.ControlCenter.csproj,Medstreaming.AWS.ControlCenter,Exe,v4.0,0,0,0
Medstreaming.AWS.QueryTool,Medstreaming.AWS.QueryTool\Medstreaming.AWS.QueryTool.csproj,Medstreaming.AWS.QueryTool,Exe,v4.0,0,0,0
MedStreaming.DataSync,Medstreaming.DataSync\MedStreaming.DataSync.csproj,Medstreaming.DataSync,Library,v4.8,7,2,0
Medstreaming.EMR.Web.API,Medstreaming.EMR.Web.API\Medstreaming.EMR.Web.API.csproj,Medstreaming.EMR.Web.API,Library,v4.5,0,0,0
DesktopHost,Medstreaming.ExamList.Web\DesktopHost\DesktopHost.csproj,Medstreaming.ExamList.Web,WinExe,v4.5,0,0,0
WebExamList,Medstreaming.ExamList.Web\WebExamList\WebExamList.csproj,Medstreaming.ExamList.Web,Library,v4.5,0,0,0
Medstreaming.Portal,Medstreaming.Portal\Medstreaming.Portal\Medstreaming.Portal\Medstreaming.Portal.csproj,Medstreaming.Portal,WinExe,v4.8,0,0,0
MedStreaming.Dashboard.Watchdog.Tests,Medstreaming.Server.Dashboard\MedStreaming.Dashboard.Watchdog.Tests\MedStreaming.Dashboard.Watchdog.Tests.csproj,Medstreaming.Server.Dashboard,Library,v4.8,1,0,0
Medstreaming.ServerController,Medstreaming.ServerController\Medstreaming.ServerController.csproj,Medstreaming.ServerController,WinExe,v4.0,1,0,0
Medstreaming.ServerController.Contracts,Medstreaming.ServerController.Contracts\Medstreaming.ServerController.Contracts.csproj,Medstreaming.ServerController.Contracts,Library,v4.0,0,4,0
Medstreaming.ServerController.Core,Medstreaming.ServerController.Core\Medstreaming.ServerController.Core.csproj,Medstreaming.ServerController.Core,Library,v4.0,1,1,0
Medstreaming.ServerControllerHost,Medstreaming.ServerControllerHost\Medstreaming.ServerControllerHost.csproj,Medstreaming.ServerControllerHost,Exe,v4.0,2,0,0
Medstreaming.ServerControllerTst,Medstreaming.ServerControllerTst\Medstreaming.ServerControllerTst.csproj,Medstreaming.ServerControllerTst,Exe,v4.0,1,0,0
SupportUtil.DBCorrection,Medstreaming.SupportUtility\SupportUtil.DBCorrection\DBCorrectionTool\SupportUtil.DBCorrection.csproj,Medstreaming.SupportUtility,WinExe,v4.8,0,0,0
Medstreaming.Test.VHStarter,Medstreaming.Test.VHStarter\Medstreaming.Test.VHStarter.csproj,Medstreaming.Test.VHStarter,WinExe,v4.8,2,0,0
Medstreaming.UnitTest,Medstreaming.UnitTest\Medstreaming.UnitTest.csproj,Medstreaming.UnitTest,Library,v4.6.1,2,0,0
MedStreaming.WebLogger.SLTestClient,Medstreaming.WebLogger\MedStreaming.WebLogger.SLTestClient\MedStreaming.WebLogger.SLTestClient.csproj,Medstreaming.WebLogger,Library,v3.0,1,0,0
MedStreaming.WebLogger.SLTestClient.Web,Medstreaming.WebLogger\MedStreaming.WebLogger.SLTestClient.Web\MedStreaming.WebLogger.SLTestClient.Web.csproj,Medstreaming.WebLogger,Library,v4.8,2,0,0
MedStreaming.WebLogger.TestClient,Medstreaming.WebLogger\MedStreaming.WebLogger.TestClient\MedStreaming.WebLogger.TestClient.csproj,Medstreaming.WebLogger,WinExe,v4.8,2,0,0
Medstreaming.WebLogger.Models,Medstreaming.WebLogger\Medstreaming.WebLogger\Medstreaming.WebLogger.Models.csproj,Medstreaming.WebLogger,(unknown),,0,0,0
NotificationBar,NotificationBar\NotificationBar.csproj,NotificationBar,Library,v2.0,0,0,0
NotificationBar,NotificationBar\Backup\NotificationBar.csproj,NotificationBar,Library,,0,0,0
PropertyBag,PropertyBag\PropertyBag.csproj,PropertyBag,WinExe,,1,0,0
PropertyBag,PropertyBag\Backup\PropertyBag.csproj,PropertyBag,(unknown),,0,0,0
AmazonSES.Test,Tools\Amazon\AmazonSES\AmazonSESTest\AmazonSES.Test.csproj,Tools,Exe,v4.5,1,0,0
AmazonSESWrapper,Tools\Amazon\AmazonSES\AmazonSES\AmazonSESWrapper.csproj,Tools,Library,v4.8,0,1,0
AppExamCreator,Tools\AppointmentsExamCreator\AppExamCreator\AppExamCreator\AppExamCreator.csproj,Tools,WinExe,v4.8,0,0,0
AutomatedReportGeneration,Tools\AutomatedReportGeneration\AutomatedReportGeneration.csproj,Tools,Exe,v4.0,0,0,0
Base64En_DecodingTool,Tools\Base64En_DecodingTool\Base64En_DecodingTool\Base64En_DecodingTool.csproj,Tools,WinExe,v4.0,0,0,0
CRClient,Tools\ControlRoomData\solutionConsumer\CRClient.csproj,Tools,WinExe,v4.8,1,0,0
CalcQueryPerformance,Tools\CalcQueryPerformance\CalcQueryPerformance.csproj,Tools,Exe,v4.0,0,0,0
Core,Tools\CustomersManagement\SyncCheckerTracker\Models\Core.csproj,Tools,Library,v4.5,0,0,0
DAL,Tools\RegenerateJobsCreator\DAL\DAL.csproj,Tools,Library,v3.5,0,1,0
DBRepositoryComparer,Tools\DBRepositoryComparer\DBRepositoryComparer\DBRepositoryComparer.csproj,Tools,WinExe,v4.8,0,0,0
DCSLoader,Tools\DCSLoader\DCSLoader\DCSLoader.csproj,Tools,WinExe,v4.0,0,0,0
DataManagment,Tools\CustomersManagement\SyncCheckerTracker\DataManagment\DataManagment.csproj,Tools,Library,v4.5,2,1,0
EmailFetcher,Tools\CustomersManagement\SyncCheckerTracker\EmailFetcher\EmailFetcher.csproj,Tools,Library,v4.5,1,1,0
EmailParser,Tools\CustomersManagement\SyncCheckerTracker\EmailParser\EmailParser.csproj,Tools,Library,v4.5,1,1,0
EndeavorsPlugin,Tools\EndeavorsPlugin\EndeavorsPlugin\EndeavorsPlugin.csproj,Tools,WinExe,v4.8,0,0,0
ExamData.Logger,Tools\RegenerateJobsCreator\Logger\ExamData.Logger.csproj,Tools,Library,netstandard2.0,0,0,1
FCCIInventoryLoader,Tools\FCCIInventoryLoader\FCCIInventoryLoader\FCCIInventoryLoader.csproj,Tools,WinExe,v4.8,0,0,0
Finder,Tools\LogsFinder\Finder\Finder\Finder.csproj,Tools,WinExe,v4.8,0,0,0
FixOldWorksheets,Tools\FixOldWorksheets\FixOldWorksheets\FixOldWorksheets.csproj,Tools,Exe,v4.5,0,0,0
FixWorksheetCalcDependencies,Tools\FixWorksheetCalcDependencies\FixWorksheetCalcDependencies\FixWorksheetCalcDependencies.csproj,Tools,WinExe,v4.0,0,0,0
InconsistencyFixing,Tools\InconsistencyFixing\InconsistencyFixing.csproj,Tools,WinExe,v4.8,0,0,0
Mach7BackEndDEmo,Tools\Mach7BackEndDEmo\Mach7BackEndDEmo\Mach7BackEndDEmo.csproj,Tools,Library,v4.6.1,0,0,0
MacroCreator,Tools\MacroCreator\MacroCreator\MacroCreator.csproj,Tools,WinExe,v4.0,0,0,0
MailSystem.NET,Tools\Medstreaming.SVNMailService\MailSystem.NET\MailSystem.NET.csproj,Tools,Exe,v4.5,0,0,0
MedStreaming.AnalysisPackageDeployment,Tools\MedStreaming.AnalysisPackageDeployment\MedStreaming.AnalysisPackageDeployment\MedStreaming.AnalysisPackageDeployment.csproj,Tools,WinExe,v4.5,0,0,0
MedStreaming.CofigCopier.ConsoleApp,Tools\MedStreaming.ConfigCopier\MedStreaming.CofigCopier.ConsoleApp\MedStreaming.CofigCopier.ConsoleApp.csproj,Tools,Exe,v4.5,0,0,0
MedStreaming.ConfigCopier,Tools\MedStreaming.ConfigCopier\MedStreaming.ConfigCopier\MedStreaming.ConfigCopier.csproj,Tools,WinExe,v4.0,0,0,0
MedStreaming.ConfigCopier,Tools\fivos.configcopier\MedStreaming.ConfigCopier\MedStreaming.ConfigCopier.csproj,Tools,WinExe,v4.0,0,0,0
MedStreaming.ConfigCopier.Util,Tools\MedStreaming.ConfigCopier\MedStreaming.ConfigCopier.Util\MedStreaming.ConfigCopier.Util.csproj,Tools,Exe,v4.0,0,0,0
MedStreaming.DevTools,Tools\MedStreaming.DevTools\MedStreaming.DevTools\MedStreaming.DevTools.csproj,Tools,WinExe,v4.5,0,0,0
MedStreaming.DocumentGenerator,Tools\TemplateGeneration\DocumentGenerator\MedStreaming.DocumentGenerator.csproj,Tools,Library,v4.8,0,2,0
MedStreaming.DumpAnalysisPackage,Tools\MedStreaming.DumpAnalysisPackage\MedStreaming.DumpAnalysisPackage\MedStreaming.DumpAnalysisPackage.csproj,Tools,WinExe,v4.0,0,0,0
MedStreaming.EncryptionTool,Tools\EncryptionTool\MedStreaming.EncryptionTool.csproj,Tools,WinExe,v4.5.2,0,0,0
MedStreaming.GenerationUtilMonitor,Tools\MedStreaming.GenerationUtilMonitor\MedStreaming.GenerationUtilMonitor\MedStreaming.GenerationUtilMonitor.csproj,Tools,WinExe,v4.8,0,0,0
MedStreaming.InvasiveRuntimeMigraionTool,Tools\MedStreaming.InvasiveRuntimeMigraionTool\MedStreaming.InvasiveRuntimeMigraionTool\MedStreaming.InvasiveRuntimeMigraionTool.csproj,Tools,Exe,v4.5,2,0,0
MedStreaming.InvasiveRuntimeMigraionTool.DALayer,Tools\MedStreaming.InvasiveRuntimeMigraionTool\MedStreaming.InvasiveRuntimeMigraionTool.DALayer\MedStreaming.InvasiveRuntimeMigraionTool.DALayer.csproj,Tools,Library,v4.5,1,1,0
MedStreaming.InvasiveRuntimeMigrationTool.Utilities,Tools\MedStreaming.InvasiveRuntimeMigraionTool\MedStreaming.InvasiveRuntimeMigrationTool.Utilities\MedStreaming.InvasiveRuntimeMigrationTool.Utilities.csproj,Tools,Library,v4.5,0,2,0
MedStreaming.PHIRemoving,Tools\MedStreaming.PHIRemoving\MedStreaming.PHIRemoving\MedStreaming.PHIRemoving.csproj,Tools,Exe,v4.5,0,0,0
MedStreaming.ReleaseTool,Tools\MedStreaming.ReleaseTool\MedStreaming.ReleaseTool\MedStreaming.ReleaseTool.csproj,Tools,WinExe,v4.5,0,0,0
MedStreaming.TestVsProduction,Tools\MedStreaming.TestVsProduction\MedStreaming.TestVsProduction\MedStreaming.TestVsProduction.csproj,Tools,WinExe,v4.0,0,0,0
MedStreaming.UpgradeScripts,Tools\MedStreaming.UpgradeScripts\MedStreaming.UpgradeScripts\MedStreaming.UpgradeScripts.csproj,Tools,WinExe,v4.5,0,0,0
MedStreaming.UtilHost.Tester,Tools\MedStreaming.UtilHost.Tester\MedStreaming.UtilHost.Tester.csproj,Tools,WinExe,v4.8,0,0,0
MedStreaming.XmlComparer,Tools\MedStreaming.XmlComparer\MedStreaming.XmlComparer.csproj,Tools,Library,v4.8,0,0,0
MedStreaming.XmlComparer,Tools\MedStreaming.XmlComparer\MedStreaming.XmlComparer\MedStreaming.XmlComparer.csproj,Tools,Library,v4.8,0,1,0
MedStreaming.XmlComparer.Test,Tools\MedStreaming.XmlComparer\MedStreaming.XmlComparer.Test\MedStreaming.XmlComparer.Test.csproj,Tools,WinExe,v4.8,1,0,0
MedStreamingEntityModel,Tools\ControlRoomData\MedStreamingEntityModel\MedStreamingEntityModel.csproj,Tools,Library,v4.8,0,1,0
Medstreaming.CalcFunctionChecker,Tools\Medstreaming.CalcFunctionChecker\Medstreaming.CalcFunctionChecker\Medstreaming.CalcFunctionChecker.csproj,Tools,WinExe,v4.5,0,0,0
Medstreaming.ExcelToReportTemplate,Tools\Medstreaming.ExcelToReportTemplate\Medstreaming.ExcelToReportTemplate\Medstreaming.ExcelToReportTemplate.csproj,Tools,Library,v4.5,0,0,0
Medstreaming.Hashing,Tools\Medstreaming.Hashing\Medstreaming.Hashing\Medstreaming.Hashing.csproj,Tools,WinExe,v4.6.1,0,0,0
Medstreaming.Mgm.Update.Tool,Tools\Medstreaming.Mgm.Update.Tool\Medstreaming.Mgm.Update.Tool\Medstreaming.Mgm.Update.Tool.csproj,Tools,Library,v4.5,0,0,0
Medstreaming.StudyIntegration.Test,Tools\Medstreaming.StudyIntegration.Test\Medstreaming.StudyIntegration.Test\Medstreaming.StudyIntegration.Test.csproj,Tools,Exe,v4.8,0,0,0
Medstreaming.SvnMailService,Tools\Medstreaming.SVNMailService\Medstreaming.SvnMailSystem\Medstreaming.SvnMailService.csproj,Tools,WinExe,v4.5,0,0,0
Medstreaming.TemplateGenerator,Tools\TemplateGeneration\TemplateGenerator\Medstreaming.TemplateGenerator.csproj,Tools,Library,v4.8,1,1,0
MedstreamingIntegration,Tools\MedstreamingIntegration\MedstreamingIntegration\MedstreamingIntegration.csproj,Tools,WinExe,v4.5,0,0,0
MedstreamingMapping,Tools\M2S\MedstreamingMapping\MedstreamingMapping.csproj,Tools,WinExe,v4.8,0,0,0
MigrationTool,Tools\MigrationTool\MigrationTool\MigrationTool.csproj,Tools,WinExe,v4.8,0,0,0
Models,Tools\CustomersManagement\SyncCheckerTracker\Models\Models.csproj,Tools,Library,v4.5,0,4,0
NestedProcedureLog,Tools\NestedProcedureLog\NestedProcedureLog\NestedProcedureLog.csproj,Tools,WinExe,v4.0,0,0,0
OB_lookupTable,Tools\OB_lookupTable\OB_lookupTable.csproj,Tools,WinExe,v4.8,0,0,0
ParagraphCreator,Tools\ParagraphCreator\ParagraphCreator.csproj,Tools,WinExe,v4.8,0,0,0
PatientChartsHelper,Tools\PatientChartsHelper\PatientChartsHelper\PatientChartsHelper\PatientChartsHelper.csproj,Tools,WinExe,v4.8,0,0,0
PerfLog,Tools\PerfLog\PerfLog\PerfLog.csproj,Tools,WinExe,v4.5,0,0,0
RegenerateJobsCreator,Tools\RegenerateJobsCreator\RegenerateJobsCreator.csproj,Tools,WinExe,v3.5,1,0,0
ReleaseNotes,Tools\ReleaseNotes\ReleaseNotes.csproj,Tools,WinExe,v4.5.2,0,0,0
ReportSectionsDataViewer,Tools\ReportSectionsDataViewer\ReportSectionsDataViewer\ReportSectionsDataViewer.csproj,Tools,WinExe,v4.8,0,0,0
ScriptsDiff,Tools\ScriptsDiff\ScriptsDiff\ScriptsDiff.csproj,Tools,WinExe,v3.5,0,0,0
SqlServerDBAccess,Tools\CustomersManagement\SyncCheckerTracker\SqlServerDBAccess\SqlServerDBAccess.csproj,Tools,Library,v4.5,0,1,0
SyncCheckerTracker,Tools\CustomersManagement\SyncCheckerTracker\SyncCheckerTracker\SyncCheckerTracker.csproj,Tools,Exe,v4.5,4,0,0
Test,Tools\TemplateGeneration\Test\Test.csproj,Tools,WinExe,v4.8,2,0,0
Test,Tools\Test\Test.csproj,Tools,WinExe,v4.8,0,0,0
